,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ
0,0.0,0.0,30.0,146.0,31.0,37.0,19.0,0,0,0.0
1,0.0,0.0,77.0,234.0,36.0,94.0,57.0,0,0,0.0
2,0.0,0.0,22.0,28.0,7.0,24.0,15.0,0,0,1.0
3,0.0,0.0,72.0,152.0,20.0,83.0,43.0,0,0,0.0
4,0.0,0.0,154.0,684.375,90.0,140.0,74.0,0,0,0.0
5,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0,0,0.0
6,0.0,0.0,77.0,177.0,25.0,81.0,81.0,0,0,0.0
7,0.0,0.0,25.0,67.0,16.0,18.0,11.0,0,0,0.0
8,0.0,0.0,33.0,65.0,11.0,39.0,23.0,0,0,0.0
9,0.0,0.0,67.0,182.0,36.0,111.0,70.0,0,0,0.0
10,0.0,0.0,27.0,82.0,11.0,29.0,9.0,0,0,0.0
11,0.0,0.0,55.0,118.0,32.0,102.0,77.0,0,0,0.0
12,0.0,0.0,30.0,71.0,9.0,46.0,23.0,0,0,0.0
13,0.0,0.0,44.0,116.0,30.0,48.0,10.0,0,0,0.0
14,0.0,0.0,224.375,572.0,90.0,288.875,137.5,0,0,2.0
15,0.0,0.0,70.0,231.0,26.0,84.0,59.0,0,0,0.0
16,0.0,0.0,31.0,91.0,15.0,24.0,11.0,0,0,0.0
17,0.0,0.0,92.0,318.0,64.0,177.0,118.0,0,0,0.0
18,0.0,0.0,224.375,684.375,116.875,288.875,137.5,0,0,0.0
19,0.0,0.0,102.0,499.0,116.875,130.0,90.0,0,0,2.0
20,0.0,0.0,77.0,277.0,39.0,107.0,80.0,0,0,0.0
21,0.0,0.0,58.0,222.0,56.0,64.0,45.0,0,0,0.0
22,0.0,0.0,122.0,335.0,55.0,178.0,91.0,0,0,1.0
23,0.0,0.0,102.0,313.0,60.0,163.0,105.0,0,0,0.0
24,0.0,0.0,113.0,181.0,21.0,114.0,46.0,0,0,3.0
25,0.0,0.0,200.0,513.0,65.0,271.0,114.0,0,0,0.0
26,0.0,0.0,110.0,347.0,91.0,126.0,102.0,0,0,0.0
27,0.0,0.0,224.375,548.0,83.0,288.875,137.5,0,0,0.0
28,0.0,0.0,114.0,320.0,84.0,155.0,107.0,0,0,1.0
29,0.0,0.0,109.0,292.0,52.0,143.0,93.0,0,0,0.0
30,0.0,0.0,155.0,385.0,68.0,209.0,128.0,0,0,4.0
31,0.0,0.0,45.0,123.0,17.0,48.0,18.0,0,0,0.0
32,0.0,0.0,25.0,77.0,6.0,29.0,19.0,0,0,0.0
33,0.0,0.0,32.0,138.0,47.0,60.0,49.0,0,0,0.0
34,0.0,0.0,59.0,149.0,7.0,92.0,57.0,0,0,0.0
35,0.0,0.0,56.0,383.0,60.0,53.0,28.0,0,0,0.0
36,0.0,0.0,55.0,252.0,40.0,72.0,40.0,0,0,0.0
37,0.0,0.0,44.0,119.0,35.0,36.0,7.0,0,0,0.0
38,0.0,0.0,84.0,251.0,21.0,110.0,60.0,0,0,0.0
39,0.0,0.0,22.0,35.0,12.0,24.0,15.0,0,0,0.0
40,0.0,0.0,80.0,147.0,9.0,109.0,59.0,0,0,0.0
41,0.0,0.0,131.0,634.0,115.0,153.0,77.0,0,0,0.0
42,0.0,0.0,7.0,15.0,0.0,9.0,7.0,0,0,0.0
43,0.0,0.0,52.0,123.0,15.0,54.0,46.0,0,0,0.0
44,0.0,0.0,31.0,78.0,24.0,46.0,31.0,0,0,0.0
45,0.0,0.0,25.0,50.0,30.0,31.0,17.0,0,0,0.0
46,0.0,0.0,71.0,196.0,51.0,108.0,68.0,0,0,0.0
47,0.0,0.0,31.0,121.0,27.0,32.0,13.0,0,0,0.0
48,0.0,0.0,56.0,140.0,51.0,89.0,68.0,0,0,0.0
49,0.0,0.0,31.0,101.0,13.0,41.0,29.0,0,0,0.0
50,0.0,0.0,66.0,222.0,37.0,75.0,3.0,0,0,0.0
51,0.0,0.0,224.375,518.0,56.0,288.875,137.5,0,0,0.0
52,0.0,0.0,72.0,232.0,31.0,82.0,33.0,0,0,0.0
53,0.0,0.0,16.0,71.0,17.0,16.0,5.0,0,0,0.0
54,0.0,0.0,67.0,264.0,35.0,132.0,82.0,0,0,1.0
55,0.0,0.0,224.375,684.375,116.875,288.875,137.5,0,0,7.0
56,0.0,0.0,137.0,604.0,100.0,184.0,110.0,0,0,3.0
57,0.0,0.0,71.0,287.0,29.0,93.0,74.0,0,0,0.0
58,0.0,0.0,44.0,139.0,21.0,47.0,38.0,0,0,0.0
59,0.0,0.0,143.0,425.0,94.0,216.0,105.0,0,0,0.0
60,0.0,0.0,100.0,369.0,69.0,163.0,91.0,0,0,0.0
61,0.0,0.0,151.0,243.0,26.0,152.0,85.0,0,0,2.0
62,0.0,0.0,176.0,452.0,77.0,218.0,75.0,0,0,1.0
63,0.0,0.0,108.0,492.0,93.0,171.0,128.0,0,0,2.0
64,0.0,0.0,224.375,670.0,82.0,288.875,137.5,0,0,0.0
65,0.0,0.0,115.0,290.0,43.0,152.0,96.0,0,0,2.0
66,0.0,0.0,105.0,317.0,43.0,132.0,78.0,0,0,3.0
67,0.0,0.0,176.0,399.0,103.0,222.0,129.0,0,0,1.0
68,0.0,0.0,48.0,130.0,15.0,51.0,15.0,0,0,0.0
69,0.0,0.0,21.0,54.0,4.0,22.0,12.0,0,0,0.0
70,0.0,0.0,37.0,119.0,33.0,57.0,46.0,0,0,0.0
71,0.0,0.0,67.0,213.0,12.0,104.0,31.0,0,0,0.0
72,0.0,0.0,42.0,235.0,35.0,51.0,28.0,0,0,0.0
73,0.0,0.0,41.0,153.0,14.0,47.0,29.0,0,0,0.0
74,0.0,0.0,21.0,69.0,19.0,32.0,20.0,0,0,0.0
75,0.0,0.0,90.0,280.0,21.0,107.0,70.0,0,0,0.0
76,0.0,0.0,16.0,32.0,10.0,17.0,10.0,0,0,0.0
77,0.0,0.0,66.0,138.0,18.0,100.0,37.0,0,0,0.0
78,0.0,0.0,105.0,418.0,46.0,112.0,55.0,0,0,0.0
79,0.0,0.0,10.0,19.0,3.0,10.0,5.0,0,0,0.0
80,0.0,0.0,69.0,170.0,19.0,69.0,63.0,0,0,0.0
81,0.0,0.0,17.0,65.0,4.0,24.0,7.0,0,0,0.0
82,0.0,0.0,29.0,74.0,5.0,34.0,17.0,0,0,0.0
83,0.0,0.0,41.0,136.0,16.0,72.0,46.0,0,0,0.0
84,0.0,0.0,29.0,82.0,15.0,35.0,20.0,0,0,0.0
85,0.0,0.0,58.0,154.0,34.0,81.0,61.0,0,0,0.0
86,0.0,0.0,41.0,98.0,20.0,60.0,39.0,0,0,0.0
87,0.0,0.0,66.0,157.0,22.0,78.0,8.0,0,0,0.0
88,0.0,0.0,224.375,483.0,37.0,288.875,135.0,0,0,0.0
89,0.0,0.0,93.0,239.0,28.0,107.0,40.0,0,0,0.0
90,0.0,0.0,23.0,64.0,14.0,24.0,6.0,0,0,0.0
91,0.0,0.0,63.0,370.0,46.0,120.0,74.0,0,0,1.0
92,0.0,0.0,222.0,684.375,116.875,288.875,137.5,0,0,5.0
