Model,CV_Accuracy_Mean,CV_Accuracy_Std,Train_Accuracy,Test_Accuracy,Accuracy_Gap,Precision,Recall,F1_Score,ROC_AUC,LogLoss,Cohen_Kappa,MCC,Train_Time_Sec,Status,Removal_Reason
LightGBM,93.95714285714286,0.2498979383505139,98.14285714285714,94.0,4.142857142857148,92.97945205479452,91.72297297297295,92.3469387755102,97.20409423740924,0.1931128404576101,0.8741310379807262,0.8741857546405412,3.781121253967285,KEPT,
XGBoost,93.57142857142856,0.2390457218668749,96.88571428571429,93.53333333333332,3.352380952380951,93.34500875656742,90.03378378378379,91.65950128976785,97.12075098225978,0.1983404444901215,0.8638196391735209,0.8641953038774656,5.181861400604248,KEPT,
CatBoost,93.18571428571428,0.3487587318781034,95.98571428571428,93.53333333333332,2.4523809523809503,91.87817258883248,91.72297297297295,91.80050718512256,97.12754122514583,0.2022508720330001,0.8646204347777542,0.8646212768685024,11.45833683013916,KEPT,
HistGradientBoosting,93.77142857142856,0.5631543812693431,98.18571428571428,93.26666666666668,4.919047619047623,92.99474605954468,89.69594594594594,91.31556319862425,97.07926538873674,0.1980478008350579,0.8582039541909857,0.8585771767015132,15.282524347305298,KEPT,
Gradient Boosting,92.67142857142856,0.3149343955006927,94.78571428571428,92.66666666666666,2.1190476190476204,92.73049645390071,88.3445945945946,90.48442906574394,96.7010581616859,0.2159504327890401,0.8452482780353847,0.8459048188741028,34.662296533584595,KEPT,
Random Forest,90.97142857142858,0.3276384268908479,93.21428571428572,91.33333333333331,1.8809523809523832,89.96539792387543,87.83783783783784,88.88888888888889,95.89683295630432,0.275417081358925,0.817867310264438,0.8180246807762402,13.109644651412964,KEPT,
Decision Tree,89.85714285714286,0.9389529557231412,91.18571428571428,89.66666666666666,1.51904761904762,85.18518518518519,89.3581081081081,87.22176422093982,94.84974029646386,0.4215997158890083,0.7855632906488993,0.7861962950590848,0.4942245483398437,KEPT,
Extra Trees,88.68571428571428,0.2806697529198381,89.88571428571429,89.13333333333333,0.7523809523809599,92.47524752475248,78.88513513513513,85.14129443938013,94.32438013453982,0.3389330365876445,0.7666049370931098,0.7726233117008229,8.169926404953003,KEPT,
MLP Classifier,85.75714285714285,0.8050858744917344,90.82857142857142,85.6,5.228571428571427,84.81481481481481,77.36486486486487,80.91872791519434,93.33719043933802,0.3250626943258147,0.6939469508048062,0.695838255606121,5.253448963165283,REMOVED,Gap>5%
AdaBoost,83.9,0.4729412959213384,83.89999999999999,84.46666666666667,-0.5666666666666709,94.9874686716792,64.02027027027027,76.48839556004037,92.08192567567566,0.4219793922866147,0.6553539943436639,0.6838108708991694,16.10920286178589,KEPT,
